year,week,start_date,n_days_in_week,a_weekly,b1_eff,b2_eff,beta_h_fitted,beta_m_fitted,beta_h_climate,beta_m_climate,valid,temp_mean,precip_mean,umid_min_mean,defor_clearcut_4wk,defor_degradation_4wk,defor_burnscar_4wk,defor_total_4wk,fire_counts_4wk,fire_trends_ha,sin_week,cos_week,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
2017,0,2017-01-01,7,0.3909003456221199,0.2910701973408116,0.047677681357505795,0.018637222121110318,0.11377944074082189,0.013674733151608002,0.1012054200081689,True,25.69432857142857,6.9589,73.51767142857143,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1,0,0,0,0,0,0
2017,1,2017-01-08,7,0.37604147465437787,0.22052598325936051,0.04747676642437857,0.017853233258044773,0.08292691594445657,0.013154930348428929,0.09735840811887468,True,25.32582857142857,6.426957142857143,78.09401428571428,0.0,0.0,0.0,0.0,0.0,0.8,0.12053668025532305,0.992708874098054,1,0,0,0,0,0,0
2017,2,2017-01-15,7,0.3990875576036866,0.2004053670922351,0.04253364650528024,0.01697464909977087,0.07997928848351034,0.013961143589351133,0.1033251168479649,True,25.897371428571425,4.9304,71.36022857142856,0.0,0.0,0.0,0.0,0.0,0.8,0.23931566428755774,0.970941817426052,1,0,0,0,0,0,0
2017,3,2017-01-22,7,0.39347983870967734,0.1830281198558351,0.029460345258651467,0.011592051900705587,0.07201787508020949,0.013764970676424279,0.10187325948249569,True,25.7583,7.525671428571428,74.75322857142858,0.0,0.0,0.0,0.0,0.0,0.8,0.3546048870425356,0.9350162426854148,1,0,0,0,0,0,0
2017,4,2017-01-29,7,0.3567448156682028,0.17326509902094445,0.015899645393451938,0.005672116065076801,0.06181142581195973,0.012479881924172456,0.09236243792001962,True,24.84727142857143,8.324,80.67858571428573,0.0,0.0,0.0,0.0,0.0,0.8,0.4647231720437685,0.8854560256532099,1,0,0,0,0,0,0
2017,5,2017-02-05,7,0.3774458525345622,0.16784047603985844,0.023860791968550808,0.009006156966719494,0.06335069156867112,0.013204059219688886,0.09772200629627725,True,25.360657142857143,7.754342857142857,75.90677142857143,0.0,0.0,0.0,0.0,0.0,10.0,0.5680647467311558,0.8229838658936564,1,0,0,0,0,0,0
2017,6,2017-02-12,7,0.4144867511520737,0.1665057419086975,0.02234338579074892,0.009261037386144927,0.0690144240119017,0.01449984831264581,0.10731202007868801,True,26.279271428571427,2.106542857142857,68.04901428571428,0.0,0.0,0.0,0.0,0.0,10.0,0.6631226582407952,0.7485107481711011,1,0,0,0,0,0,0
2017,7,2017-02-19,7,0.390383064516129,0.16562891625309553,0.02160518678751344,0.008434299027552876,0.06465872389936872,0.013656637283522913,0.10107149418236597,True,25.6815,4.822285714285714,75.86044285714286,0.0,0.0,0.0,0.0,0.0,10.0,0.7485107481711011,0.6631226582407953,1,0,0,0,0,0,0
2017,8,2017-02-26,7,0.3832736175115207,0.17552810810260192,0.02165248889444296,0.008298827746701182,0.0672752929674375,0.01340792992950717,0.09923083433597446,True,25.505185714285712,6.625214285714285,76.36014285714285,0.0,0.0,0.0,0.0,0.0,10.0,0.8229838658936564,0.5680647467311559,1,0,0,0,0,0,0
2017,9,2017-03-05,7,0.3730864055299538,0.1759567871137935,0.02220609084541821,0.008284790614388693,0.06564708523288451,0.013051554175515238,0.09659333073984468,True,25.252542857142856,6.835442857142857,79.90229999999998,0.0,0.0,0.0,0.0,0.0,0.3,0.8854560256532099,0.4647231720437686,1,0,0,0,0,0,0
