viewDate,areaMunKm,areaUcKm,uc,uf,municipio,geocod,className
04/10/2022,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
27/06/2020,0.24,0,,AM,Manaus,1302603,DESMATAMENTO_CR
11/09/2022,0.11,0,,AM,Manaus,1302603,DESMATAMENTO_CR
09/10/2023,0.17,0,,AM,Manaus,1302603,DESMATAMENTO_CR
09/10/2023,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.23,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.14,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.37,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.13,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.12,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.16,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.18,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.19,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.11,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.07,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.15,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.15,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.2,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.08,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.15,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.1,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.11,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.14,0,,AM,Manaus,1302603,DESMATAMENTO_CR
05/03/2016,0.14,0,,AM,Manaus,1302603,DESMATAMENTO_CR
27/07/2016,0.04,0,,AM,Manaus,1302603,DESMATAMENTO_CR
