year,b1,b2,gamma,omega,tau_H,M_prime,H0,k,phi,R0,seasonal_IH_peak
2017,0.25890337816688286,0.034982658124398935,0.007148517791842921,0.0855216550375881,19.806233032806652,50722.569601238974,37.57504091592932,0.7053976506218881,0.21548140534934548,1.332856333988967,2045.9582056297745
2018,0.4874659309433675,0.021677179560901788,0.007336818553517406,0.09611962491377789,19.997675214676008,51245.036769071485,20.36252528652576,0.04613430068693594,0.49038928723814834,0.9606311433922673,917.8495698644531
2019,0.4875389234207659,0.021603996088667567,0.0072077723187694825,0.07443117129380127,19.95820131653097,50473.60143521648,22.13480246447407,0.05258814995056824,0.4930395970343625,1.0523371679662687,948.3151609264559
2020,0.49974967302013007,0.019233589354855987,0.006747660834790877,0.04220655488026701,19.976565228681842,50024.10344275124,20.12647144875173,0.03948338812817101,0.4995355728401972,0.8141097897469801,918.5845875939682
2021,0.49977422424502954,0.0192093687073878,0.006737983319075372,0.07730479016814164,19.989682551678207,50015.30122651396,20.021633631855238,0.04310558833706056,0.49320769286994515,0.8896450651343981,918.628411227109
2022,0.49977422424502954,0.0192093687073878,0.009879329618088531,0.031187908228895313,19.77315627675327,50832.25364316318,20.021633631855238,0.04310558833706056,0.49320769286994515,0.7406895881966999,917.4285714285714
2023,0.48517650606368923,0.010049734139615797,0.008064103539403913,0.0309537089530981,19.857427183764386,53616.15162010558,20.14210733298128,0.2073489341361475,0.43071689068763036,0.9466176246139346,918.161166405754
