,mean,sd,min,max,cv_pct
b1 (mosq->human),0.45976898001498495,0.0888164006797056,0.25890337816688286,0.49977422424502954,19.317614832738577
b2 (human->mosq),0.02085227066903081,0.00736689208330743,0.010049734139615797,0.034982658124398935,35.32896824636238
R0,0.9624123875770737,0.1923614542265292,0.7406895881966999,1.332856333988967,19.987425007154137
I_H peak,1083.560810439441,424.5266306396966,917.4285714285714,2045.9582056297745,39.17884686762792
