year,total_new_cases,avg_daily_active,peak_active,cumulative_end
2016,7376,2636.0,3640,10904
2017,9987,2981.0,4897,20891
2018,7474,2795.0,4250,28365
2019,5861,1866.0,2480,34226
2020,4508,1573.0,2383,38734
2021,3615,1242.0,1759,42349
2022,2210,765.0,1616,44559
2023,2874,950.0,1346,47433
2024,0,557.0,1083,47433
